,School,Date,Venue,Opponent,Result/Line
0,Gonzaga,11-07,H,North Florida,W
1,Gonzaga,11-11,N,Michigan St.,W
2,Gonzaga,11-16,A,Texas,L
3,Gonzaga,11-20,H,Kentucky,W
4,Gonzaga,11-24,N,Portland St.,W
5,Gonzaga,11-25,N,Purdue,L
6,Gonzaga,11-27,N,Xavier,W
7,Gonzaga,12-02,N,Baylor,L
8,Gonzaga,12-05,H,Kent St.,W
9,Gonzaga,12-09,H,Washington,W
10,Gonzaga,12-12,H,Northern Illinois,W
11,Gonzaga,12-17,N,Alabama,W
12,Gonzaga,12-20,H,Montana,W
13,Gonzaga,12-28,H,Eastern Oregon,W
14,Gonzaga,12-31,H,Pepperdine,W
15,Gonzaga,1-05,A,San Francisco,W
16,Gonzaga,1-07,A,Santa Clara,W
17,Gonzaga,1-12,A,BYU,W
18,Gonzaga,1-14,H,Portland,W
19,Gonzaga,1-19,H,Loyola Marymount,L
20,Gonzaga,1-21,A,Pacific,W
21,Gonzaga,1-28,A,Portland,W
22,Gonzaga,2-02,H,Santa Clara,W
23,Gonzaga,2-04,A,Saint Mary's,L
24,Gonzaga,2-09,H,San Francisco,W
25,Gonzaga,2-11,H,BYU,W
26,Gonzaga,2-16,A,Loyola Marymount,W
27,Gonzaga,2-18,A,Pepperdine,W
28,Gonzaga,2-23,H,San Diego,W
29,Gonzaga,2-25,H,Saint Mary's,W
30,Gonzaga,3-01,H,Chicago St.,W
31,Gonzaga,3-06,N,San Francisco,W
32,Gonzaga,3-07,N,Saint Mary's,W
33,Baylor,11-07,H,Mississippi Valley St.,W
34,Baylor,11-11,H,Norfolk St.,W
35,Baylor,11-14,H,Northern Colorado,W
36,Baylor,11-18,N,Virginia,L
37,Baylor,11-20,N,UCLA,W
38,Baylor,11-23,H,McNeese St.,W
39,Baylor,11-29,A,Marquette,L
40,Baylor,12-02,N,Gonzaga,W
41,Baylor,12-06,H,Tarleton St.,W
42,Baylor,12-18,N,Washington St.,W
43,Baylor,12-20,H,Northwestern St.,W
44,Baylor,12-28,H,Nicholls St.,W
45,Baylor,12-31,A,Iowa St.,L
46,Baylor,1-04,H,TCU,L
47,Baylor,1-07,H,Kansas St.,L
48,Baylor,1-11,A,West Virginia,W
49,Baylor,1-14,H,Oklahoma St.,W
50,Baylor,1-17,A,Texas Tech,W
51,Baylor,1-21,A,Oklahoma,W
52,Baylor,1-23,H,Kansas,W
53,Baylor,1-28,H,Arkansas,W
54,Baylor,1-30,A,Texas,L
55,Baylor,2-04,H,Texas Tech,W
56,Baylor,2-08,H,Oklahoma,W
57,Baylor,2-11,A,TCU,W
58,Baylor,2-13,H,West Virginia,W
59,Baylor,2-18,A,Kansas,L
60,Baylor,2-21,A,Kansas St.,L
61,Baylor,2-25,H,Texas,W
62,Baylor,2-27,A,Oklahoma St.,W
63,Baylor,3-04,H,Iowa St.,L
64,Baylor,3-09,N,Iowa St.,L
65,Arizona,11-07,H,Nicholls St.,W
66,Arizona,11-11,H,Southern,W
67,Arizona,11-17,H,Utah Tech,W
68,Arizona,11-21,N,Cincinnati,W
69,Arizona,11-22,N,San Diego St.,W
70,Arizona,11-23,N,Creighton,W
71,Arizona,12-01,A,Utah,L
72,Arizona,12-04,H,California,W
73,Arizona,12-10,N,Indiana,W
74,Arizona,12-13,H,Texas A&M Corpus Chris,W
75,Arizona,12-17,H,Tennessee,W
76,Arizona,12-20,H,Montana St.,W
77,Arizona,12-22,H,Morgan St.,W
78,Arizona,12-31,A,Arizona St.,W
79,Arizona,1-05,H,Washington,W
80,Arizona,1-07,H,Washington St.,L
81,Arizona,1-12,A,Oregon St.,W
82,Arizona,1-14,A,Oregon,L
83,Arizona,1-19,H,USC,W
84,Arizona,1-21,H,UCLA,W
85,Arizona,1-26,A,Washington St.,W
86,Arizona,1-28,A,Washington,W
87,Arizona,2-02,H,Oregon,W
88,Arizona,2-04,H,Oregon St.,W
89,Arizona,2-09,A,California,W
90,Arizona,2-11,A,Stanford,L
91,Arizona,2-16,H,Utah,W
92,Arizona,2-18,H,Colorado,W
93,Arizona,2-25,H,Arizona St.,L
94,Arizona,3-02,A,USC,W
95,Arizona,3-04,A,UCLA,L
96,Arizona,3-09,N,Stanford,W
97,Arizona,3-10,N,Arizona St.,W
98,Arizona,3-11,N,UCLA,W
99,Iowa,11-07,H,Bethune Cookman,W
100,Iowa,11-11,H,North Carolina A&T,W
101,Iowa,11-16,A,Seton Hall,W
102,Iowa,11-21,H,Nebraska Omaha,W
103,Iowa,11-25,N,Clemson,W
104,Iowa,11-26,N,TCU,L
105,Iowa,11-29,H,Georgia Tech,W
106,Iowa,12-06,N,Duke,L
107,Iowa,12-08,H,Iowa St.,W
108,Iowa,12-11,H,Wisconsin,L
109,Iowa,12-17,H,Southeast Missouri St.,W
110,Iowa,12-21,H,Eastern Illinois,L
111,Iowa,12-29,A,Nebraska,L
112,Iowa,1-01,A,Penn St.,L
113,Iowa,1-05,H,Indiana,W
114,Iowa,1-08,A,Rutgers,W
115,Iowa,1-12,H,Michigan,W
116,Iowa,1-15,H,Maryland,W
117,Iowa,1-21,A,Ohio St.,L
118,Iowa,1-26,A,Michigan St.,L
119,Iowa,1-29,H,Rutgers,W
120,Iowa,1-31,H,Northwestern,W
121,Iowa,2-04,H,Illinois,W
122,Iowa,2-09,A,Purdue,L
123,Iowa,2-12,A,Minnesota,W
124,Iowa,2-16,H,Ohio St.,W
125,Iowa,2-19,A,Northwestern,L
126,Iowa,2-22,A,Wisconsin,L
127,Iowa,2-25,H,Michigan St.,W
128,Iowa,2-28,A,Indiana,W
129,Iowa,3-05,H,Nebraska,L
130,Iowa,3-09,N,Ohio St.,L
131,Toledo,11-07,H,Valparaiso,W
132,Toledo,11-11,N,UAB,W
133,Toledo,11-16,H,Oakland,W
134,Toledo,11-21,N,UMKC,L
135,Toledo,11-22,N,East Carolina,L
136,Toledo,11-23,N,Northern Kentucky,W
137,Toledo,11-30,H,Richmond,W
138,Toledo,12-03,A,George Mason,L
139,Toledo,12-06,A,Northern Iowa,W
140,Toledo,12-10,H,Canisius,W
141,Toledo,12-17,A,Marshall,L
142,Toledo,12-20,A,Vermont,W
143,Toledo,12-29,H,Lourdes,W
144,Toledo,1-03,H,Ball St.,L
145,Toledo,1-06,H,Western Michigan,W
146,Toledo,1-10,A,Kent St.,L
147,Toledo,1-14,A,Northern Illinois,W
148,Toledo,1-17,H,Ohio,W
149,Toledo,1-20,A,Buffalo,W
150,Toledo,1-24,H,Eastern Michigan,W
151,Toledo,1-28,H,Bowling Green,W
152,Toledo,1-31,A,Miami OH,W
153,Toledo,2-04,H,Central Michigan,W
154,Toledo,2-07,A,Akron,W
155,Toledo,2-11,A,Eastern Michigan,W
156,Toledo,2-14,H,Miami OH,W
157,Toledo,2-18,A,Bowling Green,W
158,Toledo,2-21,H,Akron,W
159,Toledo,2-25,H,Buffalo,W
160,Toledo,2-28,A,Central Michigan,W
161,Toledo,3-03,A,Ball St.,W
162,Toledo,3-09,N,Miami OH,W
163,Toledo,3-10,N,Ohio,W
164,Toledo,3-11,N,Kent St.,L
165,Toledo,3-14,A,Michigan,L
166,Connecticut,11-07,H,Stonehill,W
167,Connecticut,11-11,H,Boston University,W
168,Connecticut,11-15,H,Buffalo,W
169,Connecticut,11-18,H,UNC Wilmington,W
