,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,Abilene Christian,15,9,6,.600,-5.04,-2.32,,1,1,,7,0,,2,3,,1155,973,,600,424,891,.476,120,324,.370,187,276,.678,164,512,247,142,46,219,291
1,Air Force,15,9,6,.600,1.52,-4.48,,0,2,,8,3,,1,3,,1035,945,,605,355,751,.473,128,350,.366,197,280,.704,101,460,238,102,70,189,255
2,Akron,13,8,5,.615,2.33,0.97,,0,0,,7,0,,0,2,,902,814,,525,312,749,.417,115,336,.342,163,243,.671,144,490,173,91,31,155,184
3,Alabama,13,11,2,.846,19.83,8.29,,1,0,,6,0,,3,0,,1082,932,,540,358,814,.440,131,382,.343,235,330,.712,186,612,202,75,74,222,253
4,Alabama A&M,14,5,9,.357,-9.49,0.15,,1,0,,5,4,,0,4,,1000,1057,,566,372,846,.440,111,271,.410,145,216,.671,141,455,200,127,52,212,263
5,Alabama State,14,3,11,.214,-16.69,0.77,,1,0,,2,0,,0,11,,892,1107,,560,316,886,.357,87,263,.331,173,245,.706,184,524,147,75,40,180,262
6,Albany (NY),16,5,11,.313,-14.37,-2.16,,0,1,,2,2,,2,8,,1049,1181,,640,365,907,.402,120,373,.322,199,294,.677,177,540,187,98,35,222,318
7,Alcorn State,13,3,10,.231,-10.22,3.55,,0,1,,0,1,,2,8,,787,966,,531,282,770,.366,58,227,.256,165,243,.679,178,452,114,103,28,185,283
8,American,13,10,3,.769,-1.63,-7.70,,2,0,,4,1,,6,2,,881,802,,520,323,646,.500,97,255,.380,138,191,.723,100,406,186,102,44,186,192
9,Appalachian State,15,7,8,.467,-3.76,0.16,,0,2,,5,3,,2,4,,1129,980,,605,410,891,.460,124,362,.343,185,262,.706,127,543,208,112,67,179,221
10,Arizona,14,13,1,.929,22.31,6.39,,2,1,,8,0,,1,1,,1242,1019,,560,434,831,.522,111,307,.362,263,354,.743,144,586,286,84,55,201,245
11,Arizona State,14,11,3,.786,11.38,4.02,,2,1,,6,1,,2,2,,1005,902,,565,350,838,.418,101,331,.305,204,300,.680,166,562,205,99,73,172,269
12,Arkansas,13,11,2,.846,19.27,3.35,,0,1,,8,0,,0,1,,1010,803,,525,370,763,.485,63,210,.300,207,289,.716,121,463,181,136,63,163,223
13,Arkansas State,15,9,6,.600,-9.80,-7.38,,1,1,,8,2,,1,4,,1028,977,,600,383,828,.463,89,262,.340,173,265,.653,158,521,227,115,55,186,249
14,Arkansas-Pine Bluff,14,4,10,.286,-12.54,7.16,,0,1,,4,0,,0,10,,892,971,,560,326,858,.380,104,351,.296,136,195,.697,155,502,187,117,44,222,259
