,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
0,Abilene Christian,15,9,6,.600,-5.04,-2.32,,1,1,,7,0,,2,3,,1155,973,,71.7,107.4,.310,.364,.565,52.2,58.3,13.2,9.1,.543,17.6,31.7,.210
1,Air Force,15,9,6,.600,1.52,-4.48,,0,2,,8,3,,1,3,,1035,945,,64.4,106.3,.373,.466,.585,48.7,67.0,10.5,13.2,.558,17.6,23.1,.262
2,Akron,13,8,5,.615,2.33,0.97,,0,0,,7,0,,0,2,,902,814,,66.8,103.0,.324,.449,.522,52.9,55.4,10.4,6.2,.493,15.2,30.8,.218
3,Alabama,13,11,2,.846,19.83,8.29,,1,0,,6,0,,3,0,,1082,932,,74.4,107.8,.405,.469,.557,56.3,56.4,7.5,12.3,.520,18.6,36.3,.289
4,Alabama A&M,14,5,9,.357,-9.49,0.15,,1,0,,5,4,,0,4,,1000,1057,,71.8,98.5,.255,.320,.527,45.4,53.8,12.5,11.7,.505,18.3,28.4,.171
5,Alabama State,14,3,11,.214,-16.69,0.77,,1,0,,2,0,,0,11,,892,1107,,71.2,89.5,.277,.297,.445,48.1,46.5,7.5,7.3,.406,15.2,31.1,.195
6,Albany (NY),16,5,11,.313,-14.37,-2.16,,0,1,,2,2,,2,8,,1049,1181,,68.3,95.9,.324,.411,.501,49.2,51.2,9.0,5.7,.469,17.5,30.1,.219
7,Alcorn State,13,3,10,.231,-10.22,3.55,,0,1,,0,1,,2,8,,787,966,,67.4,87.8,.316,.295,.444,48.1,40.4,11.5,6.8,.404,17.3,34.7,.214
8,American,13,10,3,.769,-1.63,-7.70,,2,0,,4,1,,6,2,,881,802,,63.3,107.0,.296,.395,.598,52.5,57.6,12.4,10.4,.575,20.2,28.2,.214
9,Appalachian State,15,7,8,.467,-3.76,0.16,,0,2,,5,3,,2,4,,1129,980,,70.4,106.0,.294,.406,.556,50.3,50.7,10.5,12.5,.530,15.0,24.5,.208
10,Arizona,14,13,1,.929,22.31,6.39,,2,1,,8,0,,1,1,,1242,1019,,75.7,117.2,.426,.369,.622,57.0,65.9,7.9,9.6,.589,16.7,32.6,.316
11,Arizona State,14,11,3,.786,11.38,4.02,,2,1,,6,1,,2,2,,1005,902,,69.9,101.8,.358,.395,.512,50.8,58.6,10.0,14.2,.478,14.9,31.0,.243
12,Arkansas,13,11,2,.846,19.27,3.35,,0,1,,8,0,,0,1,,1010,803,,72.0,106.8,.379,.275,.561,53.1,48.9,14.4,13.2,.526,15.3,28.3,.271
13,Arkansas State,15,9,6,.600,-9.80,-7.38,,1,1,,8,2,,1,4,,1028,977,,65.5,104.7,.320,.316,.539,52.3,59.3,11.7,10.7,.516,16.3,32.1,.209
14,Arkansas-Pine Bluff,14,4,10,.286,-12.54,7.16,,0,1,,4,0,,0,10,,892,971,,72.6,87.8,.227,.409,.469,48.4,57.4,11.5,9.2,.441,18.9,27.5,.159
15,Army,15,8,7,.533,-9.13,-8.29,,2,0,,5,1,,3,3,,1142,1077,,68.9,109.5,.304,.428,.584,53.8,52.1,6.5,6.7,.561,16.8,28.1,.214
16,Auburn,13,11,2,.846,15.56,4.63,,1,0,,8,0,,1,1,,945,803,,69.7,104.3,.390,.352,.527,54.0,55.7,12.5,17.1,.494,17.0,37.5,.262
17,Austin Peay,15,6,9,.400,-9.22,-0.06,,0,2,,4,2,,1,6,,1053,1069,,67.7,102.8,.295,.366,.521,49.5,55.9,9.5,7.9,.483,15.3,31.6,.222
18,Ball State,13,9,4,.692,1.75,-3.16,,0,0,,5,0,,2,2,,994,856,,67.6,113.1,.483,.344,.582,52.0,52.1,9.8,12.1,.552,16.1,33.1,.327
19,Baylor,13,10,3,.769,16.64,3.64,,0,1,,7,0,,0,2,,1031,862,,70.3,112.8,.364,.459,.577,54.1,61.0,12.3,9.8,.546,17.2,37.0,.261
20,Bellarmine,15,6,9,.400,-7.25,2.09,,1,1,,4,2,,2,7,,1006,965,,62.9,106.6,.265,.455,.576,49.1,62.0,9.2,5.9,.550,16.4,23.2,.197
21,Belmont,15,9,6,.600,-0.37,-1.02,,2,2,,5,1,,2,4,,1111,1072,,68.4,106.5,.281,.433,.566,45.8,56.6,10.9,8.4,.544,15.6,23.9,.195
22,Bethune-Cookman,14,5,9,.357,-19.28,-3.78,,1,0,,3,1,,1,7,,930,1065,,69.2,95.2,.274,.264,.495,47.0,47.1,11.8,9.3,.462,16.4,28.3,.195
23,Binghamton,14,4,10,.286,-14.89,-5.39,,0,1,,3,4,,1,6,,981,1036,,69.9,100.3,.318,.325,.523,51.7,42.3,7.2,9.5,.491,17.2,31.3,.222
24,Boise State,14,10,4,.714,11.31,1.93,,0,1,,5,1,,1,2,,990,832,,67.7,104.4,.340,.384,.540,54.6,45.5,8.0,8.9,.504,14.9,28.3,.246
25,Boston College,14,7,7,.500,-1.59,1.84,,1,2,,5,2,,0,3,,901,949,,67.1,94.1,.303,.297,.486,49.2,41.2,10.7,11.4,.453,16.0,28.5,.205
26,Boston University,15,8,7,.533,-6.52,-5.16,,1,1,,4,1,,4,4,,1028,1002,,67.8,100.3,.268,.413,.507,50.2,48.9,10.4,7.0,.476,13.9,27.6,.191
27,Bowling Green State,13,6,7,.462,-8.33,-4.97,,0,0,,4,3,,2,4,,986,967,,71.3,106.4,.310,.375,.531,52.1,54.6,8.4,8.6,.492,13.7,30.1,.235
28,Bradley,15,10,5,.667,10.09,1.24,,3,1,,8,0,,2,3,,1039,881,,66.8,103.8,.272,.410,.550,53.4,51.8,12.1,13.0,.530,17.7,29.4,.182
29,Brigham Young,17,12,5,.706,8.39,3.73,,2,0,,8,1,,1,1,,1289,1156,,72.5,103.9,.327,.451,.545,56.0,59.6,10.1,13.2,.516,18.6,33.5,.228
30,Brown,14,7,7,.500,-4.76,-4.61,,0,1,,3,3,,4,4,,897,899,,67.9,94.2,.305,.417,.506,51.7,59.8,10.8,8.5,.492,18.1,26.4,.174
31,Bryant,14,10,4,.714,-2.31,-2.89,,1,0,,5,1,,4,2,,1197,1028,,76.4,110.8,.347,.408,.572,53.2,54.4,10.5,10.7,.537,15.2,30.4,.259
32,Bucknell,15,7,8,.467,-6.87,-6.37,,0,2,,4,2,,1,6,,1053,999,,66.5,104.7,.273,.379,.566,52.7,57.1,7.4,10.2,.543,17.6,27.7,.194
33,Buffalo,13,6,7,.462,-2.38,5.35,,0,0,,5,1,,0,3,,1025,1005,,77.0,102.4,.325,.347,.552,50.3,50.7,11.6,9.1,.522,17.4,27.7,.231
34,Butler,15,9,6,.600,11.59,5.32,,1,3,,6,2,,2,2,,1059,965,,68.4,103.3,.249,.347,.558,47.9,51.0,10.4,11.8,.534,15.6,21.6,.180
35,Cal Poly,14,7,7,.500,-4.86,0.23,,1,1,,6,2,,1,5,,876,889,,65.8,95.1,.317,.348,.519,51.8,42.2,9.1,7.5,.479,18.9,27.7,.237
36,Cal State Bakersfield,13,4,9,.308,-8.50,-0.95,,0,2,,2,3,,1,5,,791,800,,63.7,94.6,.269,.238,.482,51.8,48.1,9.0,12.6,.444,17.1,33.0,.198
37,Cal State Fullerton,14,7,7,.500,-2.58,1.09,,1,1,,6,1,,1,4,,954,925,,65.4,100.6,.335,.381,.514,51.4,47.3,8.8,7.3,.485,15.9,31.7,.223
38,Cal State Northridge,13,3,10,.231,-8.53,-1.72,,0,2,,3,2,,0,6,,878,859,,66.4,101.7,.297,.328,.510,51.6,43.6,9.0,9.1,.476,14.7,30.9,.212
39,California,15,2,13,.133,-0.81,6.13,,1,3,,2,8,,0,3,,892,996,,64.5,92.2,.357,.312,.504,49.2,45.0,7.0,10.4,.456,19.5,26.4,.266
