School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,3PAr,AST%,BLK%,FT/FGA,FTr,ORB%,ORtg,Pace,STL%,TOV%,TRB%,TS%,eFG%
Abilene Christian,24,13,11,0.542,-2.28,-0.38,5.0,6.0,9,2,4,6,1838,1664,960,671,1439,0.466,174,484,0.36,322,455,0.708,249,785,389,223,60,315,495,0.336,58.0,7.5,0.224,0.316,29.6,106.9,71.6,13.0,16.0,49.9,0.555,0.527
Air Force,25,12,13,0.48,1.4,1.04,3.0,9.0,9,7,3,6,1660,1651,1010,585,1279,0.457,206,589,0.35,284,399,0.712,169,734,379,144,106,293,424,0.461,64.8,11.6,0.222,0.312,22.4,104.1,63.2,9.0,16.6,47.2,0.565,0.538
Akron,24,17,7,0.708,4.77,-1.14,9.0,2.0,12,1,4,3,1729,1526,965,590,1368,0.431,214,612,0.35,335,460,0.728,249,865,318,153,64,271,379,0.447,53.9,7.4,0.245,0.336,30.1,107.7,66.5,9.5,14.6,52.4,0.545,0.51
Alabama,24,21,3,0.875,23.8,8.8,11.0,0.0,12,0,7,1,2009,1649,980,670,1508,0.444,253,717,0.353,416,573,0.726,311,1077,363,148,122,338,446,0.475,54.2,11.3,0.276,0.38,33.4,111.3,73.7,8.2,16.0,54.1,0.564,0.528
Alabama A&M,23,9,14,0.391,-11.15,-5.34,5.0,6.0,8,7,1,7,1622,1689,926,596,1345,0.443,165,434,0.38,265,402,0.659,229,731,301,195,88,353,424,0.323,50.5,11.5,0.197,0.299,29.1,98.3,71.3,11.8,18.7,46.5,0.528,0.504
Alabama State,23,6,17,0.261,-15.2,-4.42,5.0,6.0,5,2,1,15,1476,1719,925,510,1385,0.368,136,436,0.312,320,437,0.732,285,843,227,132,78,303,421,0.315,44.5,8.7,0.231,0.316,31.3,91.5,69.7,8.2,16.0,48.1,0.463,0.417
Albany (NY),26,6,20,0.231,-14.61,-3.28,1.0,10.0,3,6,2,13,1724,1957,1040,602,1478,0.407,193,596,0.324,327,463,0.706,279,864,306,150,45,347,485,0.403,50.8,4.7,0.221,0.313,29.7,97.6,67.9,8.5,17.0,49.5,0.508,0.473
Alcorn State,21,10,11,0.476,-8.28,-3.37,9.0,2.0,6,1,5,9,1388,1515,861,492,1252,0.393,108,376,0.287,296,420,0.705,272,719,194,164,47,278,426,0.3,39.4,6.8,0.236,0.335,34.7,95.0,67.8,11.2,16.1,49.7,0.478,0.436
American,24,15,9,0.625,-5.3,-6.97,7.0,6.0,7,3,8,6,1594,1554,965,590,1194,0.494,165,456,0.362,249,342,0.728,179,713,340,177,94,349,362,0.382,57.6,11.4,0.209,0.286,27.4,104.4,63.3,11.6,20.5,51.3,0.588,0.563
Appalachian State,25,13,12,0.52,-0.73,-0.23,6.0,6.0,9,6,4,5,1791,1606,1010,649,1462,0.444,196,581,0.337,297,437,0.68,227,912,332,175,112,287,350,0.397,51.2,12.8,0.203,0.299,25.9,103.8,68.4,10.1,14.7,50.3,0.536,0.511
Arizona,24,21,3,0.875,20.2,7.61,10.0,3.0,13,1,4,2,1999,1697,960,700,1433,0.488,200,551,0.363,399,543,0.735,270,985,470,155,89,336,414,0.385,67.1,9.4,0.278,0.379,33.3,113.5,73.4,8.8,16.6,55.2,0.591,0.558
Arizona State,24,16,8,0.667,10.69,6.32,7.0,6.0,9,4,4,4,1712,1607,970,605,1430,0.423,179,556,0.322,323,465,0.695,265,904,357,171,121,298,449,0.389,59.0,14.1,0.226,0.325,29.6,101.5,69.6,10.1,15.3,49.7,0.519,0.486
Arkansas,24,17,7,0.708,16.69,7.27,6.0,5.0,12,1,2,5,1799,1573,965,657,1370,0.48,118,381,0.31,367,522,0.703,245,858,326,205,124,318,451,0.278,49.6,13.4,0.268,0.381,31.3,106.3,70.2,12.1,16.4,52.6,0.556,0.523
Arkansas State,25,10,15,0.4,-8.9,-3.04,2.0,10.0,9,7,1,8,1634,1683,1005,595,1384,0.43,151,447,0.338,293,438,0.669,258,855,338,171,82,305,419,0.323,56.8,9.3,0.212,0.316,29.8,99.6,65.3,10.4,16.1,50.9,0.513,0.484
Arkansas-Pine Bluff,22,10,12,0.455,-11.36,-2.81,6.0,5.0,8,1,2,13,1455,1501,880,498,1276,0.39,164,530,0.309,295,405,0.728,234,785,295,182,63,362,424,0.415,59.2,8.2,0.231,0.317,28.0,91.2,72.5,11.4,19.8,49.4,0.495,0.455
Army,26,14,12,0.538,-6.08,-7.5,8.0,5.0,8,4,6,5,1928,1818,1045,708,1455,0.487,203,560,0.363,309,449,0.688,226,885,343,139,53,343,421,0.385,48.4,5.8,0.212,0.309,28.5,108.3,68.2,7.8,17.1,53.8,0.578,0.556
Auburn,24,17,7,0.708,14.72,7.01,7.0,4.0,11,1,4,5,1735,1550,960,621,1406,0.442,148,506,0.292,345,500,0.69,290,902,346,198,137,305,458,0.36,55.7,15.3,0.245,0.356,34.4,105.0,68.9,12.0,15.7,52.0,0.528,0.494
Austin Peay,25,8,17,0.32,-11.09,-1.65,2.0,10.0,6,7,1,9,1690,1799,1005,604,1444,0.418,179,543,0.33,303,415,0.73,249,784,321,181,75,301,439,0.376,53.1,8.6,0.21,0.287,27.9,99.5,67.6,10.7,15.5,47.1,0.515,0.48
Ball State,24,17,7,0.708,-0.09,-3.4,8.0,3.0,9,1,6,4,1813,1656,965,619,1314,0.471,176,469,0.375,399,595,0.671,258,863,307,147,101,301,386,0.357,49.6,10.7,0.304,0.453,31.8,110.4,68.0,9.0,15.9,52.4,0.568,0.538
Baylor,24,18,6,0.75,19.02,9.15,7.0,4.0,12,2,3,3,1897,1660,965,634,1415,0.448,221,621,0.356,408,545,0.749,300,869,364,171,62,288,420,0.439,57.4,7.5,0.288,0.385,36.3,114.3,68.8,10.3,14.7,53.5,0.567,0.526
Bellarmine,25,11,14,0.44,-6.48,-0.75,6.0,6.0,7,5,4,9,1662,1635,1010,602,1309,0.46,215,596,0.361,243,330,0.736,162,733,369,142,34,283,392,0.455,61.3,5.4,0.186,0.252,22.0,105.1,62.7,9.0,16.2,48.3,0.567,0.542
Belmont,26,17,9,0.654,1.26,-1.42,10.0,5.0,9,2,6,6,1935,1838,1050,705,1520,0.464,250,640,0.391,275,383,0.718,220,834,391,186,87,306,403,0.421,55.5,8.6,0.181,0.252,25.6,108.3,68.1,10.4,15.2,47.6,0.568,0.546
Bethune-Cookman,23,9,14,0.391,-16.13,-6.52,6.0,6.0,6,2,3,12,1569,1734,925,568,1345,0.422,150,418,0.359,283,407,0.695,222,745,260,175,75,304,391,0.311,45.8,9.3,0.21,0.303,26.9,96.9,70.1,10.8,16.5,46.4,0.51,0.478
Binghamton,23,10,13,0.435,-10.87,-4.96,6.0,4.0,6,5,4,8,1569,1634,925,582,1299,0.448,115,393,0.293,290,408,0.711,225,791,258,111,71,301,418,0.303,44.3,8.5,0.223,0.314,29.2,100.3,67.6,7.1,16.8,50.4,0.526,0.492
Boise State,24,18,6,0.75,14.25,4.95,8.0,3.0,10,1,4,4,1718,1468,965,622,1366,0.455,190,521,0.365,284,390,0.728,205,872,276,120,74,271,392,0.381,44.4,8.4,0.208,0.286,26.2,105.9,67.2,7.4,14.9,53.2,0.554,0.525
Boston College,25,12,13,0.48,1.4,4.6,6.0,8.0,8,5,2,6,1662,1742,1010,620,1430,0.434,136,443,0.307,286,398,0.719,238,826,312,166,93,300,392,0.31,50.3,10.9,0.2,0.278,27.6,98.8,66.7,9.9,15.6,49.1,0.513,0.481
Boston University,26,12,14,0.462,-8.22,-5.58,5.0,8.0,7,4,5,8,1735,1756,1050,610,1485,0.411,193,593,0.325,322,434,0.742,271,921,275,176,60,323,459,0.399,45.1,7.1,0.217,0.292,29.1,99.4,66.5,10.1,16.0,51.4,0.513,0.476
Bowling Green State,24,10,14,0.417,-6.91,-3.59,4.0,7.0,6,6,4,8,1843,1860,960,661,1449,0.456,179,511,0.35,342,462,0.74,249,870,340,141,74,288,418,0.353,51.4,8.2,0.236,0.319,29.3,108.0,71.1,8.3,14.7,50.9,0.552,0.518
Bradley,26,18,8,0.692,7.6,-0.92,11.0,4.0,12,1,6,5,1871,1624,1045,684,1471,0.465,219,589,0.372,284,424,0.67,257,924,345,190,102,323,425,0.4,50.4,11.9,0.193,0.288,29.6,107.6,66.6,10.9,16.2,52.9,0.559,0.539
Brigham Young,26,16,10,0.615,9.43,4.39,6.0,5.0,11,3,2,4,1957,1773,1045,697,1545,0.451,218,643,0.339,345,490,0.704,286,1001,395,203,108,390,494,0.416,56.7,11.9,0.223,0.317,31.4,104.3,71.9,10.8,18.0,54.6,0.55,0.522
Brown,22,12,10,0.545,-2.16,-3.16,5.0,4.0,6,4,6,6,1503,1481,886,552,1257,0.439,180,512,0.352,219,355,0.617,194,780,307,163,68,296,345,0.407,55.6,8.5,0.174,0.282,25.3,98.4,69.0,10.7,17.2,51.2,0.527,0.511
Bryant,24,16,8,0.667,-1.55,-4.05,7.0,4.0,9,2,6,5,1968,1751,965,688,1468,0.469,208,582,0.357,384,504,0.762,253,948,344,175,83,326,409,0.396,50.0,9.2,0.262,0.343,29.9,110.2,74.0,9.8,16.0,53.3,0.576,0.54
Bucknell,26,10,16,0.385,-8.77,-6.73,3.0,10.0,5,6,3,10,1775,1781,1050,650,1423,0.457,188,539,0.349,287,400,0.718,219,896,360,142,98,357,413,0.379,55.4,10.3,0.202,0.281,26.7,101.1,66.8,8.1,18.1,51.5,0.55,0.523
Buffalo,24,12,12,0.5,-0.83,1.31,6.0,5.0,9,3,2,6,1925,1867,965,705,1517,0.465,175,523,0.335,340,492,0.691,289,925,374,198,75,350,449,0.345,53.0,8.0,0.224,0.324,32.8,105.8,75.4,10.9,16.7,52.3,0.55,0.522
