,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
0,1,Houston,Amer,25,23-211–1,121.04,91.38,.96221,53.931,41.32,1511,22.525,37.93,28.3167,25.8329,32.3214,53.751,42.62,36.167,26.53,62.8348,65
1,2,Tennessee,SEC,24,19-58–3,111.158,85.21,.95462,49.5227,39.61,18.8210,23.610,382,27.2120,30.4207,33.6239,50.2172,43.57,32.4256,22.81,66.4230,3.118
2,3,Alabama,SEC,24,21-311–0,117.514,90.36,.95363,52.863,41.32,18.7198,16.2309,33.446,27.7146,3835,31.5196,52.774,42.21,35.3104,26.12,73.61,6.62
3,4,UCLA,P12,24,20-411–2,113.832,88.43,.94804,51.7112,4744,15.930,254,35.218,28.3167,24347,25.642,51144,4897,35.784,30.430,66.1242,4.48
4,5,Purdue,B10,25,23-212–2,120.46,94.219,.94355,53.348,46.428,17.394,15.6331,391,23.114,35.178,16.81,54.729,46.859,34.1171,30.430,63.8330,7.21
5,6,Saint Mary's,WCC,25,21-510–1,113.138,89.34,.93806,52.481,45.313,16.447,19.991,33.831,21.43,29.5248,30155,51.3132,43.912,36.260,32.287,62.3355,2.721
6,7,Connecticut,BE,25,19-68–6,118.99,95.026,.92967,53.541,45.313,18.3167,2087,37.93,25.551,33.6106,40.5336,52.967,45.729,36.260,29.618,67.4169,3.415
7,8,Arizona,P12,25,22-311–3,118.810,95.630,.92438,5610,46.326,18.9221,17.1257,33.542,26.177,37.344,25.339,56.714,45.320,36.643,31.973,72.69,64
8,9,San Diego St.,MWC,23,19-510–2,115.322,93.614,.91709,51.2143,48.8101,17.394,19.991,30.2128,24.327,36.256,31179,51.1139,51.7250,34.2169,29.820,67.1183,3.813
9,10,Creighton,BE,24,16-810–3,115.024,93.917,.911110,54.623,47.148,16.447,15344,26.1256,22.611,27.9286,18.42,55.720,45.525,35.499,33.9174,67.9140,1.437
10,11,Baylor,B12,24,18-67–4,121.12,98.970,.910611,52.669,50.7188,17.4100,20.763,36.312,28.7191,38.529,31.9205,5295,51.7250,35.690,32.7115,67.8147,4.49
11,12,Kansas,B12,24,19-57–4,114.925,94.521,.904712,52.386,4744,17.7119,20.379,30.3120,27.9155,30.3213,32.8226,5295,46.859,35.3104,31.654,6994,6.33
12,13,Iowa St.,B12,23,16-77–4,111.059,91.37,.904213,52.194,48.795,19.2241,26.41,33.733,27.3124,26.7308,41341,51.9101,48.9126,35123,32.287,64.5314,319
13,14,Texas,B12,24,19-58–3,117.215,96.841,.900514,53.738,48.487,17.178,22.228,29.7150,28.7191,31.7161,34.8273,5618,48.3107,33219,32.4100,68.997,5.26
14,15,Virginia,ACC,22,18-410–3,114.629,94.724,.899015,52.960,47.870,14.58,19.6104,26.4249,25.863,36.650,2537,50.3168,45.830,3818,34179,61.6360,3.812
15,16,Marquette,BE,25,19-611–3,120.55,99.678,.899016,574,51.4226,15.520,2319,26.3252,31.9315,27.6292,29.4133,60.21,50.6201,35123,35.1249,69.281,3.414
16,17,West Virginia,B12,24,15-94–7,116.816,96.840,.896817,52.386,49.5134,17.8122,21.342,33.349,27.8150,438,40.8338,51.8104,50.6201,35.499,31.759,68.7111,1.338
17,18,Rutgers,B10,24,16-88–5,106.3139,88.42,.893518,48.6267,43.96,17.6110,22.624,32.955,27.3124,30.1222,27.991,48.7243,4413,32.2266,29.214,66.3231,0.649
