,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
0,Kansas,B12,33,29–4,120.5,91.3,.9607,55.9,45.3,17.8,19.1,32.2,28.8,39,37.2,52.2,43.3,42.2,33,70.1,11.4
1,Villanova,BE,34,29–5,118.9,90.4,.9591,54.3,46.3,16.4,20.4,28.6,28.7,34.3,31.4,56.4,43.9,34.4,33.5,67.3,9
2,Virginia,ACC,33,26–7,119.5,91.9,.9532,54.4,48.7,15.3,19.7,30.6,25.9,32.4,33.7,51.9,46.5,40.5,34.9,61.6,8.7
3,Michigan St.,B10,34,29–5,121.4,94.8,.9448,56,42.6,17.5,14.2,37.2,24.2,30,34,51.1,41.3,43.4,30.2,67.6,7.4
4,West Virginia,B12,34,26–8,115.4,90.2,.9445,50.2,48.8,19.6,25.5,41.9,27.2,46.1,54.8,50.7,48.2,32.9,33.2,70.9,7.3
5,Kentucky,SEC,34,26–8,122.3,95.8,.9430,53.7,44.9,16.1,17.9,37.8,31.7,38.3,41.4,52.8,43,37,33,68,5
6,North Carolina,ACC,34,28–6,120.1,94.3,.9419,52.1,47.4,15.4,18.6,39.8,29.9,32.2,29.7,53.9,43.7,31.4,36,72.3,8.5
7,Oklahoma,B12,32,25–7,117.6,92.8,.9384,54.5,46.4,18,17.6,30.5,29.8,33.6,27.3,48.1,44,42.6,34,71.1,7.9
8,Purdue,B10,34,26–8,116.6,92.8,.9325,53.7,44.3,17.5,13.8,35.3,23.3,35.1,27.7,52.9,43,36.8,31.3,68.8,4.5
9,Louisville,ACC,31,23–8,112.2,89.5,.9307,51.9,44.7,17.1,21.6,38.5,29.2,31.8,40.5,51.9,42.8,34.7,32.1,67.2,4.3
10,Miami FL,ACC,32,25–7,118.8,95.4,.9256,53.9,48,16,17.5,30.5,29.2,40,28.8,53.4,46.9,36.6,33.6,67.2,6.9
11,Xavier,BE,32,27–5,117.1,94.5,.9216,51.5,47.9,17.5,19.4,35.7,26.3,42.9,34.4,50,48.4,36.2,31.5,72.6,7.7
12,Vanderbilt,SEC,32,19–13,114.6,92.8,.9187,53.5,43.1,16.8,14.3,27.4,29.4,39.5,34.2,50.5,42.7,38.8,29.2,68.6,-0.4
13,Wichita St.,MVC,31,23–8,111.5,90.3,.9187,49.6,44.5,14.8,23.2,31.9,23.6,37.8,45.4,49.8,41.8,32.9,32.7,66.8,0.3
14,Duke,ACC,33,23–10,121.5,98.5,.9183,53.7,49.4,14.3,17.7,34,34.5,40.2,25.4,50.7,48.9,38.7,33.9,68.8,4.2
15,Texas A&M,SEC,34,26–8,113.7,92.2,.9176,51.4,47.1,17.2,20.9,35,30,37.5,32.4,50.7,45.6,35,32.9,68.1,5.1
16,Indiana,B10,32,25–7,120.1,98.0,.9116,58.6,49.5,19.8,18.9,37.7,28.7,33.3,29.3,56.1,48.7,41.5,34.3,69.3,3.3
17,Iowa,B10,31,21–10,116.0,94.8,.9111,51.8,47.4,15,18.9,32.3,31.4,33.4,25.2,48.7,48,38.2,31,70,2
18,Iowa St.,B12,32,21–11,120.4,98.9,.9060,56.8,49.5,16,17.1,27.3,30.7,25.5,24.2,56.7,49,38,33.6,72.3,3.5
19,Arizona,P12,33,25–8,116.4,95.7,.9043,53.8,46.3,17.9,16.2,35.1,24.9,44.1,29.2,52.3,45.5,38.3,32.1,69.1,3.5
20,Oregon,P12,33,27–6,117.7,96.9,.9038,52.3,49,16.3,20.6,34.6,31.3,40.2,32.3,52.2,46.2,35.1,36.4,69.1,6.7
21,Gonzaga,WCC,32,25–7,117.0,96.3,.9031,55.3,45.1,16.5,14.9,31.9,25.9,35.9,28.3,54.6,44.9,37.6,30.3,68.2,2.2
22,California,P12,33,23–10,112.5,93.0,.8990,52.5,44,17.5,14.1,32.4,25.7,41.6,37.2,51,40.9,36.9,35.1,68.8,2.3
23,SMU,Amer,30,25–5,118.0,97.6,.8983,55.3,46.6,18.8,18.3,41.2,28.5,33.8,30.4,52.5,44.6,42,33.1,66.6,3.7
24,Saint Mary's,WCC,31,26–5,119.6,99.3,.8948,59.1,46.4,15.3,15.6,30.7,26.2,30,24.7,56.8,44.9,41.8,33.1,62.4,2.1
25,Seton Hall,BE,33,25–8,111.2,92.5,.8921,50.2,45.3,19.5,19.2,35,30.7,40.6,33.7,49.1,44.3,35.3,31.6,70.3,5.3
26,Maryland,B10,32,24–8,115.1,96.4,.8846,55.6,46.7,19.1,16.5,30.2,29.5,35.7,26.9,55.2,45.7,37.6,32.3,68,4
27,Butler,BE,31,21–10,117.9,99.4,.8777,52.5,49.4,14.5,18.6,32.8,27.8,39.8,36.2,50,48.5,38.7,33.9,69.2,2.1
